course,equivalent_course
BIOS 29280,PSYC 22750
BIOS 29294,CCTS 43000
BIOS 29294,HSTD 30030
BIOS 29300,PSYC 20300
BIOS 29313,BPRO 22610
BIOS 29313,HIPS 21911
BIOS 29313,PHIL 21610
BIOS 29317,GNSE 29302
BIOS 29317,GNSE 30500
BIOS 29317,HSTD 30500
BIOS 29318,HSTD 30900
BIOS 29318,ENST 27400
BIOS 29318,PPHA 36400
BIOS 29318,STAT 35000
BIOS 29321,RETH 30300
BIOS 29323,BPRO 28600
BIOS 29323,CMLT 28900
BIOS 29323,HMRT 28602
CHEM 32500,BCMB 32500
ANTH 21201,CRES 21201
CMST 21801,ARTV 26750
CMST 21801,ARTV 36750
CMST 21801,CMST 31801
CMST 21801,HMRT 25104
CMST 21801,HMRT 35104
ECON 26600,GEOG 26600
ECON 26600,GEOG 36600
ECON 26600,LLSO 26202
ECON 26600,PBPL 24500
ENGL 22800,AMER 40800
ENGL 22800,ENGL 42800
ENGL 22800,MAPH 42800
GEOG 23500,GEOG 33500
GEOG 26100,ENST 26100
GEOG 26100,GEOG 36100
GEOG 26100,HIST 28900
GEOG 26100,HIST 38900
HIST 27705,CRES 27705
HIST 27705,HIST 37705
HIST 27705,LLSO 22210
PBPL 25405,CRES 25405
SOSC 25501,UTEP 35501
SOSC 25502,UTEP 35502
SOSC 25503,UTEP 35503
SOCI 20142,SOCI 30142
CMST 10100,ARTH 20000
CMST 10100,ARTV 25300
CMST 10100,ENGL 10800
CMST 10300,ARTV 10300
CMST 10300,TAPS 23400
CMST 21020,CMST 31020
CMST 21801,ARTV 26750
CMST 21801,ARTV 36750
CMST 21801,CMST 31801
CMST 21801,HMRT 25104
CMST 21801,HMRT 35104
CMST 21810,CMST 31810
CMST 23202,ITAL 23203
CMST 23202,CMST 32302
CMST 23202,ITAL 33203
CMST 23404,CMST 33404
CMST 23904,ARTV 23904
CMST 23904,ARTV 33904
CMST 23930,ARTV 23930
CMST 24106,SALC 20508
CMST 24106,HIST 26707
CMST 24106,HIST 36707
CMST 24106,SALC 30508
CMST 24204,ENGL 24807
CMST 24400,POLI 22400
CMST 24400,CMST 34400
CMST 24400,POLI 32400
CMST 24612,CMST 34612
CMST 24620,EALC 16600
CMST 24620,GNSE 16610
CMST 24914,EALC 24930
CMST 25204,HUMA 25202
CMST 25204,HIPS 25203
CMST 25204,LLSO 27801
CMST 25204,TAPS 28452
CMST 25215,GRMN 25215
CMST 25215,ENGL 25215
CMST 25521,EEUR 39301
CMST 25521,CMST 35521
CMST 25521,EEUR 29301
CMST 26302,CMST 36302
CMST 26302,FNDL 26507
CMST 26610,CMST 36610
CMST 26610,FNDL 26504
CMST 27220,CMST 37220
CMST 27230,CMST 37230
CMST 27600,ARTV 24000
CMST 27600,ARTV 34000
CMST 27600,CMST 37600
CMST 27810,CMST 37810
CMST 28005,ARTV 23848
CMST 28005,ARTV 33848
CMST 28100,CMST 38100
CMST 28100,MUSI 22901
CMST 28100,MUSI 30901
CMST 28500,ARTH 28500
CMST 28500,ARTH 38500
CMST 28500,ARTV 26500
CMST 28500,ARTV 36500
CMST 28500,CMLT 22400
CMST 28500,CMLT 32400
CMST 28500,CMST 48500
CMST 28500,ENGL 29300
CMST 28500,ENGL 48700
CMST 28500,MAPH 36000
CMST 28600,ARTH 28600
CMST 28600,ARTH 38600
CMST 28600,ARTV 26600
CMST 28600,CMLT 22500
CMST 28600,CMLT 32500
CMST 28600,CMST 48600
CMST 28600,ENGL 29600
CMST 28600,ENGL 48900
CMST 28600,MAPH 33700
CMST 28801,ARTV 22500
CMST 28801,ARTV 32500
CMST 28801,CMST 38801
CMST 28903,ARTV 23801
CMST 28903,ARTV 33801
CMST 29004,ARTV 26201
CMST 29004,ARTH 26201
CMST 29004,ARTH 36201
CMST 29004,ARTV 36201
CMST 29004,CMST 39004
CRES 24001,ANTH 24001
CRES 24001,HIST 18301
CRES 24001,SOSC 24001
CRES 24002,ANTH 24002
CRES 24002,HIST 18302
CRES 24002,SOSC 24002
CRES 24003,ANTH 24003
CRES 24003,HIST 18303
CRES 24003,SALC 20702
CRES 24003,SOSC 24003
EALC 10800,HIST 15100
EALC 10800,CRES 10800
EALC 10800,SOSC 23500
EALC 10900,HIST 15200
EALC 10900,CRES 10900
EALC 10900,SOSC 23600
EALC 11000,HIST 15300
EALC 11000,CRES 11000
EALC 11000,SOSC 23700
EALC 15400,HIST 15400
EALC 15400,CRES 11200
EALC 15400,SOSC 23801
HIPS 17300,HIST 17300
HIPS 17400,HIST 17400
HIPS 17402,HIST 17402
HIPS 17501,HIST 17501
HIPS 17502,HIST 17502
HIPS 17503,HIST 17503
HIST 10101,ANTH 20701
HIST 10101,CRES 20701
HIST 10102,ANTH 20702
HIST 10102,CHDV 21401
HIST 10102,CRES 20802
HIST 13900,RUSS 25100
HIST 13900,SOSC 24000
HIST 14000,RUSS 25200
HIST 14000,SOSC 24100
HIST 16700,CLCV 20700
HIST 16800,CLCV 20800
HIST 16900,CLCV 20900
JWSC 20001,CRES 20001
JWSC 20001,HIST 22113
JWSC 20001,NEHC 20401
JWSC 20001,NEHC 30401
JWSC 20001,RLST 20604
JWSC 20002,HIST 22406
JWSC 20002,NEHC 20402
JWSC 20002,NEHC 30402
JWSC 20002,RLST 25801
JWSC 20003,HIST 22202
JWSC 20003,NEHC 20403
JWSC 20003,NEHC 30403
JWSC 20003,RLST 20605
JWSC 20004,RLST 11005
JWSC 20004,BIBL 31000
JWSC 20005,NEHC 20405
JWSC 20005,NEHC 30405
JWSC 20005,RLST 20408
JWSC 20006,NEHC 20406
JWSC 20006,NEHC 30406
JWSC 20006,CMLT 20401
JWSC 20006,CMLT 30401
JWSC 20006,RLST 20406
JWSC 20006,RLIT 30406
JWSC 20006,FNDL 20415
LACS 16100,ANTH 23101
LACS 16100,CRES 16101
LACS 16100,HIST 16101
LACS 16100,HIST 36101
LACS 16100,LACS 34600
LACS 16100,SOSC 26100
LACS 16200,ANTH 23102
LACS 16200,CRES 16102
LACS 16200,HIST 16102
LACS 16200,HIST 36102
LACS 16200,LACS 34700
LACS 16200,SOSC 26200
LACS 16300,ANTH 23103
LACS 16300,CRES 16103
LACS 16300,HIST 16103
LACS 16300,HIST 36103
LACS 16300,LACS 34800
LACS 16300,SOSC 26300
MUSI 12100,HIST 12700
MUSI 12100,SOSC 21100
MUSI 12200,HIST 12800
MUSI 12200,SOSC 21200
NEHC 20004,NEHC 30004
NEHC 20005,NEHC 30005
NEHC 20006,NEHC 30006
NEHC 30004,NEHC 20004
NEHC 20011,NEHC 30011
NEHC 20011,CLCV 25700
NEHC 20011,HIST 15602
NEHC 20012,NEHC 30012
NEHC 20012,CLCV 25800
NEHC 20012,HIST 15603
NEHC 20013,NEHC 30013
NEHC 20013,CLCV 25900
NEHC 20013,HIST 15604
NEHC 30011,CLCV 25700
NEHC 30011,HIST 15602
NEHC 30011,NEHC 20011
NEHC 20416,HIST 15702
NEHC 20417,HIST 15703
NEHC 20418,HIST 15704
NEHC 20501,NEHC 30501
NEHC 20501,HIST 25704
NEHC 20501,HIST 35704
NEHC 20501,ISLM 30500
NEHC 20501,RLST 20501
NEHC 20502,NEHC 30502
NEHC 20502,HIST 25804
NEHC 20502,HIST 35804
NEHC 20502,ISLM 30600
NEHC 20503,NEHC 30503
NEHC 20503,HIST 25904
NEHC 20503,HIST 35904
NEHC 20503,ISLM 30700
NEHC 30501,HIST 25704
NEHC 30501,HIST 35704
NEHC 30501,ISLM 30500
NEHC 30501,RLST 20501
NEHC 30501,NEHC 20501
NEHC 20601,NEHC 30601
NEHC 20601,RLST 20401
NEHC 20601,SOSC 22000
NEHC 20602,NEHC 30602
NEHC 20602,RLST 20402
NEHC 20602,SOSC 22100
NEHC 20603,NEHC 30603
NEHC 20603,RLST 20403
NEHC 20603,SOSC 22200
NEHC 30601,RLST 20401
NEHC 30601,SOSC 22000
NEHC 30601,NEHC 20601
NEHC 30602,RLST 20402
NEHC 30602,SOSC 22100
NEHC 30602,NEHC 20602
NEHC 30603,RLST 20403
NEHC 30603,SOSC 22200
NEHC 30603,NEHC 20603
SALC 20100,ANTH 24101
SALC 20100,HIST 10800
SALC 20100,SASC 20000
SALC 20100,SOSC 23000
SALC 20200,ANTH 24102
SALC 20200,HIST 10900
SALC 20200,SASC 20100
SALC 20200,SOSC 23100
CLCV 14113,ARTH 14105
CLCV 20200,HIST 25701
CLCV 20200,CLAS 30200
CLCV 20200,CMES 30634
CLCV 20200,CRES 25701
CLCV 20200,HIST 35701
CLCV 20200,NEHC 20634
CLCV 20200,NEHC 30634
CLCV 20700,HIST 16700
CLCV 20800,HIST 16800
CLCV 20900,HIST 16900
CLCV 21200,ENGL 13800
CLCV 21200,CLAS 31200
CLCV 21200,CMLT 20500
CLCV 21200,CMLT 30500
CLCV 21200,ENGL 31000
CLCV 21200,TAPS 28400
CLCV 21415,ARTH 21415
CLCV 21415,ARTH 31415
CLCV 21415,CLAS 31415
CLCV 21700,HIST 20901
CLCV 21700,HIST 39800
CLCV 21700,CLAS 31700
CLCV 21700,ANCM 31700
CLCV 21807,ARTH 14107
CLCV 21812,ARTH 14307
CLCV 22114,FNDL 21416
CLCV 22314,RLST 22311
CLCV 22514,CLAS 32514
CLCV 22700,PHIL 25000
CLCV 23514,CLAS 33514
CLCV 23915,PLSC 23915
CLCV 23915,CLAS 33915
CLCV 23915,FNDL 23915
CLCV 23915,PLSC 33915
CLCV 24113,ARTH 24105
CLCV 24115,ARTH 14115
CLCV 24215,ARTH 14215
CLCV 24306,HIST 21701
CLCV 24306,HIST 31701
CLCV 24306,CLAS 34306
CLCV 24307,HIST 21702
CLCV 24307,HIST 31702
CLCV 24307,CLAS 34307
CLCV 24506,HIST 20802
CLCV 24506,HIST 30802
CLCV 24506,CLAS 34506
CLCV 24914,CLAS 34914
CLCV 25510,FNDL 21901
CLCV 25700,NEHC 30011
CLCV 25700,HIST 15602
CLCV 25700,NEHC 20011
CLCV 25800,NEHC 30012
CLCV 25800,HIST 15603
CLCV 25800,NEHC 20012
CLCV 25900,NEHC 30013
CLCV 25900,HIST 15604
CLCV 25900,NEHC 20013
CLCV 26514,CLAS 36514
CLCV 26514,NEHC 26514
CLCV 26514,NEHC 36514
CLCV 26914,CLAS 36914
CLCV 26914,NEHC 26914
CLCV 26914,NEHC 36914
CLCV 27514,TAPS 28472
CLCV 27714,CLAS 37714
GREK 21100,GREK 31100
GREK 21200,GREK 31200
GREK 21200,BIBL 31200
GREK 21300,GREK 31300
GREK 21700,GREK 31700
GREK 21800,GREK 31800
GREK 21900,GREK 31900
GREK 22314,GREK 32314
GREK 22400,GREK 32400
GREK 22400,HIST 20403
GREK 22400,HIST 30403
GREK 22500,GREK 32500
GREK 26100,BIBL 44300
GREK 26100,GREK 36100
GREK 27100,BIBL 49800
GREK 27100,GREK 37100
LATN 21100,CMLT 21101
LATN 21100,CMLT 31101
LATN 21100,LATN 31100
LATN 21200,LATN 31200
LATN 21300,FNDL 25201
LATN 21300,LATN 31300
LATN 21700,LATN 31700
LATN 21800,LATN 31800
LATN 21900,LATN 31900
LATN 22100,LATN 32100
LATN 22100,FNDL 24212
LATN 22200,LATN 32200
LATN 22300,LATN 32300
LATN 22400,LATN 32400
LATN 25000,LATN 35000
LATN 25000,FNDL 24310
LATN 26513,FNDL 26513
LATN 26513,LATN 36513
LATN 28614,PHIL 34208
LATN 28614,FNDL 24208
LATN 28614,PHIL 24208
LATN 28614,LAWS 52403
LATN 28614,CLAS 38614
LATN 28614,RETH 38614
CHDV 20000,PSYC 20850
CHDV 20100,PSYC 21100
CHDV 20101,CHDV 30101
CHDV 20129,CHDV 30129
CHDV 20129,SOCI 30129
CHDV 20150,LING 30150
CHDV 20150,CHDV 30150
CHDV 20150,LING 20150
CHDV 20207,CRES 20207
CHDV 20209,PSYC 20209
CHDV 20304,PBPL 29304
CHDV 20304,SOCI 30314
CHDV 20305,CHDV 40315
CHDV 20305,CRES 20305
CHDV 20305,PBPL 20305
CHDV 20400,LACS 20400
CHDV 20400,ANTH 21230
CHDV 20400,ANTH 30705
CHDV 20400,CHDV 30401
CHDV 20400,CRES 20400
CHDV 20400,LACS 30401
CHDV 20405,LING 29405
CHDV 20405,ANTH 27305
CHDV 21000,AMER 33000
CHDV 21000,ANTH 24320
CHDV 21000,ANTH 35110
CHDV 21000,CHDV 31000
CHDV 21000,GNSE 21001
CHDV 21000,GNSE 31000
CHDV 21000,PSYC 23000
CHDV 21000,PSYC 33000
CHDV 21401,HIST 10102
CHDV 21401,ANTH 20702
CHDV 21401,CRES 20802
CHDV 21500,GNSE 21500
CHDV 21500,HIPS 22401
CHDV 21800,CHDV 34300
CHDV 21901,ANTH 27605
CHDV 21901,ANTH 37605
CHDV 21901,CHDV 31901
CHDV 21901,PSYC 21950
CHDV 21901,PSYC 31900
CHDV 21901,LING 27700
CHDV 21901,LING 37700
CHDV 23204,CHDV 43204
CHDV 23249,BIOS 23249
CHDV 23249,PSYC 23249
CHDV 23301,ANTH 24315
CHDV 23301,ANTH 35115
CHDV 23301,CHDV 33301
CHDV 23301,HIPS 27302
CHDV 23620,ANTH 23620
CHDV 23620,ANTH 33620
CHDV 23620,CHDV 33620
CHDV 23900,PSYC 23200
CHDV 23900,LING 21600
CHDV 24402,CHDV 34402
CHDV 24402,MAPS 34400
CHDV 25116,ANTH 25116
CHDV 25116,INST 27701
CHDV 25120,PBPL 25120
CHDV 25120,PSYC 25120
CHDV 25900,PSYC 20500
CHDV 26000,PSYC 20600
CHDV 26233,PSYC 26219
CHDV 26303,CHDV 36303
CHDV 26303,MAPS 36300
CHDV 26310,HMRT 28310
CHDV 26310,HMRT 38310
CHDV 27317,JWSC 24500
CHDV 27317,CRES 27317
CHDV 27700,CHDV 31800
CHDV 27821,SOCI 20226
CHDV 27821,PBPL 27821
CHDV 27901,LACS 27901
CHDV 27901,CHDV 47901
CHDV 27901,LACS 47901
CHDV 27902,LACS 27902
CHDV 27902,CHDV 47902
CHDV 27903,LACS 27903
CHDV 27903,CHDV 47903
CHDV 27903,LACS 47903
CHDV 27950,CHDV 37950
CHDV 29301,CHDV 39301
CMLT 20500,ENGL 13800
CMLT 20500,CLAS 31200
CMLT 20500,CLCV 21200
CMLT 20500,CMLT 30500
CMLT 20500,ENGL 31000
CMLT 20500,TAPS 28400
CMLT 20600,ENGL 13900
CMLT 20600,CMLT 30600
CMLT 20600,ENGL 31100
CMLT 20600,TAPS 28401
CMLT 21101,LATN 21100
CMLT 21101,CMLT 31101
CMLT 21101,LATN 31100
CMLT 21202,ENGL 24404
CMLT 21202,ENGL 44509
CMLT 21202,CMLT 41202
CMLT 21202,CMST 24508
CMLT 21202,CMST 44508
CMLT 21202,TAPS 28418
CMLT 22301,RUSS 22302
CMLT 22301,CMLT 32301
CMLT 22301,ENGL 28912
CMLT 22301,ENGL 32302
CMLT 22301,FNDL 27103
CMLT 22301,HIST 23704
CMLT 22301,RUSS 32302
CMLT 22400,CMST 28500
CMLT 22400,ARTH 28500
CMLT 22400,ARTH 38500
CMLT 22400,ARTV 26500
CMLT 22400,ARTV 36500
CMLT 22400,CMLT 32400
CMLT 22400,CMST 48500
CMLT 22400,ENGL 29300
CMLT 22400,ENGL 48700
CMLT 22400,MAPH 36000
CMLT 22500,CMST 28600
CMLT 22500,ARTH 28600
CMLT 22500,ARTH 38600
CMLT 22500,ARTV 26600
CMLT 22500,CMLT 32500
CMLT 22500,CMST 48600
CMLT 22500,ENGL 29600
CMLT 22500,ENGL 48900
CMLT 22500,MAPH 33700
CMLT 23201,SOSL 27200
CMLT 23201,CMLT 33201
CMLT 23201,NEHC 20885
CMLT 23201,NEHC 30885
CMLT 23201,SOSL 37200
CMLT 23401,SOSL 27300
CMLT 23401,CMLT 33401
CMLT 23401,HIST 24005
CMLT 23401,HIST 34005
CMLT 23401,NEHC 20573
CMLT 23401,NEHC 30573
