BIOS 20234,"M. Glotzer, A. Ruthenburg, N. Bhasin. L."
BIOS 20235,"I. Rebay, R. Hudson, N. Bhasin. L."
BIOS 20236,"E. Munro, M. Rust, E. Kovar."
BIOS 20242,"M. Feder, E. Kovar. "
BIOS 20200,"M. Makinen, P. Strieleman, L. "
BIOS 21206,A. Di Rienzo
BIOS 21207,G. Lamppa
BIOS 21208,"U. Storb, J. Staley"
BIOS 21216,Unknown
BIOS 21229,J. Shapiro
BIOS 21236,"D. Bishop, J. Malamy, E. Ferguson, A. Palmer"
BIOS 21237,"E. Ferguson, R. Fehon"
BIOS 21249,J. Shapiro
BIOS 21306,C.-I. Wu
BIOS 21317,"P. Rice, R. Keenan"
BIOS 21328,T. Sosnick
BIOS 21338,"K. Goss, K. Matlin, P. Bouyer"
BIOS 21346,"R. Jones, Y. Zhao"
BIOS 21349,W-J. Tang
BIOS 21356,"V. Prince, C. Ragsdale."
BIOS 21357,"J. Collier, M. Mrksich, M. Gardel, K. Matlin"
BIOS 21358,B. Roux
BIOS 21407,R. Josephs
BIOS 21409,"D. Kovar, M. Gupta"
BIOS 21410,"J. Moran, J. Reinitz"
BIOS 21415,"A. Imamoto, X. Wu"
BIOS 21416,"E. Ferguson, V. Prince, J. Cunningham, J. De Jong, X. Wu"
BIOS 21417,"B. Aprison, Staff."
BIOS 22226,J. Marks
BIOS 22233,M. Westneat. L.
BIOS 22236,R. Martin
BIOS 22242,M. LaBarbera. L.
BIOS 22243,M. LaBarbera. L.
BIOS 22244,M. LaBarbera. L.
BIOS 22247,"D. Hanck, P Singleton"
BIOS 22249,Y-Y He
BIOS 22250,M. Coates
BIOS 22260,P. Sereno. L.
BIOS 22306,U. Schmidt-Ott
BIOS 23100,P. Sereno. L.
BIOS 23232,E. Larsen
BIOS 23233,E. Larsen
BIOS 23247,M. C. Lozada
BIOS 23248,D. Maestripieri
BIOS 23249,"S. Pruett-Jones (even years), J. Mateo (odd years)"
BIOS 23252,S. Pruett-Jones
BIOS 23253,R. Tuttle
BIOS 23254,E. Larsen
BIOS 23258,M. Kreitman L.
BIOS 23261,M. Webster
BIOS 23262,"Z. Luo, K. Angielczyk"
BIOS 23266,C. Andrews
BIOS 23281,I. Ruvinsky
BIOS 23286,R. Hudson
BIOS 23289,T. Wootton
BIOS 23299,J. Greenberg
BIOS 23404,"C. Moreau, R. Ree. "
